IDTeme;PROGRAMNAJU;TEMATSKA OBLASTNAJU;Oblast akreditacije;TEMA;Datum početka;Datum završetka;Lokacija;Verifikacija;Broj realizovanih dana;Broj polaznika;Evaluacija opšta ocena;Tip obuke;Godina realizacije
2018-10-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;;Uloga državnih službenika u sistemu zaštite i spasavanja Republike Srbije;12.6.2018;12.6.2018;Palata Srbija;potvrda;1;8;3,49;Klasična učionica;2018
2018-15-10;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Obrada teksta – napredni nivo;12.6.2018;14.6.2018;SKIP MDULS;sertifikat;3;12;3,45;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak;13.6.2018;14.6.2018;Palata Srbija;potvrda;2;12;3,68;Klasična učionica;2018
2018-13-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ODNOSI SA JAVNOŠĆU;;Javni nastup;13.6.2018;13.6.2018;Palata Srbija;potvrda;1;19;3,86;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pismeno izražavanje;13.6.2018;13.6.2018;Palata Srbija;potvrda projekat;1;11;3,91;Klasična učionica;2018
2018-02-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Strateško planiranje;14.6.2018;15.6.2018;Palata Srbija;potvrda;2;12;3,70;Klasična učionica;2018
2018-07-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Osnove javnih nabavki i upravljanja ugovorima (PRAG);14.6.2018;15.6.2018;Ministarstvo finansija;potvrda;2;22;3,68;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pregovaranje;14.6.2018;14.6.2018;Palata Srbija;potvrda projekat;1;11;;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno usmeno izražavanje;15.6.2018;15.6.2018;Palata Srbija;potvrda projekat;1;11;;Klasična učionica;2018
2018-06-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Priprema programskog budžeta;18.6.2018;19.6.2018;Palata Srbija;potvrda;1;22;3,89;Klasična učionica;2018
2018-12-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Zaštita ljudskih prava i Zaštitnik građana;18.6.2018;18.6.2018;Palata Srbija;potvrda;1;10;3,89;Klasična učionica;2018
2018-13-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;;Veština komunikacije u poslovnom okruženju;19.6.2018;20.6.2018;Palata Srbija;potvrda;2;24;3,76;Klasična učionica;2018
2018-15-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INFORMATIČKI (IT) POSLOVI;;Primena Smernica za izradu internet prezentacija organa državne uprave;20.6.2018;20.6.2018;SKIP MDULS;sertifikat;1;10;3,92;Klasična učionica;2018
2018-02-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Javne politike - kreiranje, sprovođenje i analiza efekata;21.6.2018;22.6.2018;Zavod za socijalnu zaštitu;potvrda;2;17;3,56;Klasična učionica;2018
2018-10-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;U par koraka do očuvanja fizičkog zdravlja na radu;22.6.2018;22.6.2018;Palata Srbija;potvrda;1;9;3,89;Klasična učionica;2018
2018-04-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Primena gramatičkih, stilskih i pravopisnih pravila u izradi propisa;25.6.2018;26.6.2018;Palata Srbija;potvrda;2;21;3,94;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak - Obuka za popunjavanje matrice za harmonizaciju propisa sa Zakonom o opštem upravnom postupku;27.6.2018;27.6.2018;Palata Srbija;potvrda;1;15;3,82;Klasična učionica;2018
2018-13-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;;Interkulturalna komunikacija;27.6.2018;27.6.2018;Palata Srbija;potvrda;1;8;3,94;Klasična učionica;2018
2018-06-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Javne nabavke – planiranje i sprovođenje;2.7.2018;4.7.2018;Palata Srbija;potvrda;3;16;3,94;Klasična učionica;2018
2018-16-01;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;PROGRAM KONTINUIRANOG USAVRŠAVANjA I RAZVOJA DRŽAVNIH SLUŽBENIKA NA POLOŽAJU;;Upravljanje javnim politikama;2.7.2018;2.7.2018;Palata Srbija;potvrda;1;13;3,73;Klasična učionica;2018
2018-12-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;RODNA RAVNORAVNOST;;Rodna ravnopravnost i rodno zasnovano nasilje;5.7.2018;5.7.2018;Palata Srbija;potvrda;1;8;3,94;Klasična učionica;2018
2018-04-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Primena gramatičkih, stilskih i pravopisnih pravila u izradi propisa;9.7.2018;10.7.2018;Palata Srbija;potvrda;2;21;3,81;Klasična učionica;2018
2018-07-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Nepravilnosti u IPA kontekstu;11.7.2018;11.7.2018;Palata Srbija;potvrda;1;23;3,41;Klasična učionica;2018
2018-07-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Nepravilnosti u IPA kontekstu;13.7.2018;13.7.2018;Palata Srbija;potvrda;1;24;3,76;Klasična učionica;2018
2018-18-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Koučing kao instrument razvoja ;13.7.2018;13.7.2018;Palata Srbija;potvrda;1;8;3,85;Klasična učionica;2018
2018-02-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Izrada dokumenata javnih politika;16.7.2018;17.7.2018;Zavod za socijalnu zaštitu;potvrda;2;17;3,71;Klasična učionica;2018
2018-03-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Elektronska uprava u službi građana;24.7.2018;24.7.2018;Palata Srbija;potvrda;1;21;3,70;Klasična učionica;2018
2018-05-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INSPEKCIJSKI NADZOR;;Ka efikasnijim inspekcijama;30.7.2018;31.7.2018;Palata Srbija;potvrda;2;18;3,58;Klasična učionica;2018
2018-02-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Praćenje sprovođenja i vrednovanje u procesu upravljanja javnim politikama;2.8.2018;3.8.2018;Palata Srbija;potvrda;2;9;3,86;Klasična učionica;2018
2018-16-02;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Upravljanje projektnim ciklusom;6.8.2018;6.8.2018;Palata Srbija;potvrda;1;18;3,81;Klasična učionica;2018
2018-13-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;;Državni protokol sa elementima poslovnog protokola;13.8.2018;14.8.2018;Palata Srbija;potvrda;2;27;3,76;Klasična učionica;2018
2018-10-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje stresom;17.8.2018;17.8.2018;Palata Srbija;potvrda;1;19;3,87;Klasična učionica;2018
2018-04-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Planiranje, izrada i primena propisa;20.8.2018;21.8.2018;Palata Srbija;potvrda;2;12;3,82;Klasična učionica;2018
2018-07-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Horizontalna pitanja za nosioce horizontalnih funkcija;21.8.2018;21.8.2018;Palata Srbija;potvrda;1;15;3,96;Klasična učionica;2018
2018-11-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;;Zaštita uzbunjivača – osnovna obuka;24.8.2018;24.8.2018;Palata Srbija;potvrda;1;10;3,96;Klasična učionica;2018
2018-12-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Zaštita podataka o ličnosti;24.8.2018;24.8.2018;Palata Srbija;potvrda;1;18;3,60;Klasična učionica;2018
2018-13-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;;Pisana komunikacija u administraciji;27.8.2018;27.8.2018;Palata Srbija;potvrda;1;19;3,96;Klasična učionica;2018
2018-12-10;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Izvršavanje presuda Evropskog suda za ljudska prava;29.8.2018;29.8.2018;Palata Srbija;potvrda;1;15;3,59;Klasična učionica;2018
2018-07-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Analiza obima posla u okviru IPA;30.8.2018;30.8.2018;Palata Srbija;potvrda;1;26;3,78;Klasična učionica;2018
2018-18-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Samoprocena individualnih potencijala za razvoj;30.8.2018;30.8.2018;Palata Srbija;potvrda;1;19;3,82;Klasična učionica;2018
2018-02-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Strateško planiranje;5.9.2018;6.9.2018;Palata Srbija;potvrda;2;8;3,93;Klasična učionica;2018
2018-03-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Koncept dobre uprave;7.9.2018;7.9.2018;Palata Srbija;potvrda;1;10;3,68;Klasična učionica;2018
2018-06-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Priprema programskog budžeta;11.9.2018;12.9.2018;Palata Srbija;potvrda;2;14;3,92;Klasična učionica;2018
2018-12-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Mehanizmi za praćenje stanja ljudskih prava u Republici Srbiji s osvrtom na posebno osetljive grupe;13.9.2018;13.9.2018;Palata Srbija;potvrda;1;6;3,63;Klasična učionica;2018
2018-15-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INFORMATIČKI (IT) POSLOVI;;Baze podataka;13.9.2018;14.9.2018;Palata Srbija;sertifikat;3;13;3,82;Klasična učionica;2018
2018-01-05;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 5. KANCELARIJSKO POSLOVANjE;17.9.2018;17.9.2018;Palata Srbija;potvrda;1;23;3,66;Klasična učionica;2018
2018-06-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Priprema programskog budžeta;17.9.2018;18.9.2018;Palata Srbija;potvrda;2;14;3,85;Klasična učionica;2018
2018-07-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Ugovori o pružanju usluga (PRAG);18.9.2018;19.9.2018;Palata Srbija;potvrda;2;20;3,79;Klasična učionica;2018
2018-01-01;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 1. USTAVNO UREĐENjE REPUBLIKE SRBIJE;20.9.2018;21.9.2018;Palata Srbija;potvrda;2;19;3,66;Klasična učionica;2018
2018-03-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;;Etika i integritet u javnoj upravi;20.9.2018;20.9.2018;Palata Srbija;potvrda;1;21;;Klasična učionica;2018
2018-12-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Prava pripadnika nacionalnih manjina;21.9.2018;21.9.2018;Palata Srbija;potvrda;1;6;3,84;Klasična učionica;2018
2018-01-02;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 2. OSNOVI SISTEMA EVROPSKE UNIJE;24.9.2018;24.9.2018;Palata Srbija;potvrda;1;22;3,84;Klasična učionica;2018
2018-07-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Javnost i vidljivost na nivou ugovora;25.9.2018;25.9.2018;Palata Srbija;potvrda;1;30;3,78;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Upravljanje zakonodavnim procesom;25.9.2018;25.9.2018;Palata Srbija;potvrda;1;17;3,79;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pismeno izražavanje;26.9.2018;26.9.2018;Palata Srbija;potvrda projekat;1;11;3,98;Klasična učionica;2018
2018-01-03;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 3. SISTEM DRŽAVNE UPRAVE;27.9.2018;28.9.2018;Palata Srbija;potvrda;2;20;3,74;Klasična učionica;2018
2018-07-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Ugovori o grantovima u okviru IPA komponente I (TAIB) i Godišnjih nacionalnih akcionih programa;27.9.2018;28.9.2018;MFIN - Sremska;potvrda;2;21;3,89;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pregovaranje;27.9.2018;27.9.2018;Palata Srbija;potvrda projekat;1;10;;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;;Moderan koncept upravljanja i razvoja ljudskih resursa;27.9.2018;27.9.2018;Palata Srbija;potvrda;1;18;3,77;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno usmeno izražavanje;28.9.2018;28.9.2018;Palata Srbija;potvrda projekat;1;10;;Klasična učionica;2018
2018-07-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Planiranje sredstava IPA i nacionalnog učešća;1.10.2018;1.10.2018;Palata Srbija;potvrda;1;25;3,75;Klasična učionica;2018
2018-18-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MENTORSKI PROGRAM;;Mentorstvo kao instrument razvoja;1.10.2018;1.10.2018;Palata Srbija;potvrda;1;14;3,76;Klasična učionica;2018
2018-01-04;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 4. RADNI ODNOSI U DRŽAVNIM ORGANIMA;2.10.2018;2.10.2018;Palata Srbija;potvrda;1;19;3,89;Klasična učionica;2018
2018-00-18;POSEBNI DOGAĐAJI;MENTORSKI PROGRAM;;Svečano otvaranje Programa HResurs;3.10.2018;3.10.2018;Palata Srbija;bez potvrde;1;28;;Klasična učionica;2018
2018-00-18;POSEBNI DOGAĐAJI;MENTORSKI PROGRAM;;Mentorstvo kao instrument razvoja;3.10.2018;3.10.2018;Palata Srbija;potvrda;1;28;;Klasična učionica;2018
2018-12-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;RODNA RAVNORAVNOST;;Rodna ravnopravnost i rodno zasnovano nasilje;8.10.2018;8.10.2018;Palata Srbija;potvrda;1;6;3,66;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;ODNOSI SA JAVNOŠĆU;;Javni nastup i veštine prezentacije;9.10.2018;9.10.2018;Palata Srbija;potvrda;1;20;3,69;Klasična učionica;2018
2018-02-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Javne politike - kreiranje, sprovođenje i analiza efekata;11.10.2018;12.10.2018;Hotel B ART;potvrda projekat;2;14;3,65;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje timom;12.10.2018;12.10.2018;Palata Srbija;potvrda;1;18;3,58;Klasična učionica;2018
2018-00-18;POSEBNI DOGAĐAJI;MENTORSKI PROGRAM;;Upravljanje ljudskim resursima u državnoj upravi i analiza potreba za stručnim usavršavanjem;15.10.2018;15.10.2018;Palata Srbija;bez potvrde;1;23;3,25;Klasična učionica;2018
2018-02-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;;Srednjoročno planiranje;15.10.2018;16.10.2018;Palata Srbija;potvrda;2;11;3,80;Klasična učionica;2018
2018-11-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;;Pravo na pristup informacijama od javnog značaja – osnovna obuka;16.10.2018;16.10.2018;Palata Srbija;potvrda;1;11;3,90;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje vremenom i vođenje sastanaka;17.10.2018;17.10.2018;Palata Srbija;potvrda;1;17;3,77;Klasična učionica;2018
2018-05-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INSPEKCIJSKI NADZOR;;Ka efikasnijim inspekcijama;18.10.2018;19.10.2018;Palata Srbija;potvrda projekat;2;21;3,81;Klasična učionica;2018
2018-12-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Zaštita od diskriminacije;19.10.2018;19.10.2018;Palata Srbija;potvrda;1;13;3,82;Klasična učionica;2018
2018-07-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;;Ugovori o nabavci robe (PRAG);22.10.2018;23.10.2018;Palata Srbija;potvrda;2;19;3,79;Klasična učionica;2018
2018-00-18;POSEBNI DOGAĐAJI;MENTORSKI PROGRAM;;Vođenje fokus grupa;24.10.2018;24.10.2018;Palata Srbija;bez potvrde;1;16;3,48;Klasična učionica;2018
2018-07-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Finansijsko upravljanje: plaćanje ugovaračima;24.10.2018;25.10.2018;Palata Srbija;potvrda;2;21;3,82;Klasična učionica;2018
2018-15-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Tabelarne kalkulacije;24.10.2018;24.10.2018;Palata Srbija;sertifikat;1;9;3,45;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Veštine komunikacije i rešavanja konflikata;25.10.2018;26.10.2018;Palata Srbija;potvrda;2;12;3,93;Klasična učionica;2018
2018-12-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Zaštita prava potrošača;26.10.2018;26.10.2018;Palata Srbija;potvrda;1;6;4,00;Klasična učionica;2018
2018-07-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Finansijsko upravljanje u IPARD kontekstu;29.10.2018;29.10.2018;Palata Srbija;potvrda;1;16;3,82;Klasična učionica;2018
2018-05-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INSPEKCIJSKI NADZOR;;Ka efikasnijim inspekcijama;30.10.2018;31.10.2018;MRE;potvrda;2;9;3,93;Klasična učionica;2018
2018-13-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;;Veština komunikacije u poslovnom okruženju;30.10.2018;31.10.2018;Palata Srbija;potvrda;2;19;3,77;Klasična učionica;2018
